Name,Company directorships and controlling interests,Other companies and business entities,Employment,Beneficial interests in and trusteeships of trusts,Organisations and trusts seeking Government funding,Real property,Retirement schemes,Managed investment schemes,Debts owed to you,Debts owed by you,Overseas travel costs,Gifts,null,Payment for activities
Rachel Brooking,"CGCA Jackson Limited - medical practice","","","Brooking Jackson Private Trust (trustee and beneficiary)|Brooking Jackson Business Trust (trustee and beneficiary)|Tom and Trish Brooking Family Trust (trustee and beneficiary)","","Family home (jointly owned) - Dunedin|Parents' family home (in trust) - Dunedin","AMP KiwiSaver","","","ANZ Bank - mortgage","","","",""
Simeon Brown,"","National Australia Bank (shares) - financial services","","","","Family home (jointly owned) - Pakuranga, Auckland","Bank of New Zealand KiwiSaver","","","Bank of New Zealand - home loan","","Building Nations 2022 Conference ticket - Infrastructure New Zealand|Millbrook Resort accommodation - Infrastructure New Zealand","",""
Gerry Brownlee,"","","","AJ Brownlee Family Trust (beneficiary)|Bradnor Superannuation (trustee and beneficiary)","","Property - Havelock, Marlborough|Residential property (beneficial interest) - Marlborough Sounds|Residential property - Ilam, Christchurch|Residential property - Fendalton, Christchurch|Residential property - Wellington","Bradnor Superannuation Scheme|AXA Superannuation Scheme|AXA KiwiSaver","","Term deposits - Bank of New Zealand","Bank of New Zealand - mortgages","","","",""
Mark Cameron,"Cameron-Kids & Co Limited - dairy farming","","","Somnium Agris Family Trust (trustee and beneficiary)","","Farm (owned by trust) - Ruawai, Northland","","","","Rabobank - mortgage","","","",""
Naisi Chen,"Gian Consultants Limited - employment consulting|Dream and See Limited (not trading) - event planning|Gal.S Consultants Limited (not trading) - business consulting","AborGen Holdings - forestry|Fonterra Shareholders Fund - dairy|Genesis Energy - energy|Inghams Group Limited - poultry|Intel Corporation - information systems technology|Meridian Energy Limited - energy|New Zealand Coastal Seafood Limited - seafood|NZ Windfarms - energy|Rocketlab USA Incorporated - rockets|Tesla Incorporated - automobiles|Trustpower - energy|Unilever PLC ADR - commodity","","","Aotearoa Chinese Legal Support Limited - legal education and advocacy for New|Zealand Chinese community","Family home - East Auckland|Rental property - Auckland","ANZ KiwiSaver","","","ANZ Bank - mortgage","Australia - participation in Australia - New Zealand political exchange to build|relationship between Australian and NZ politicians. Contributor to travel and|accommodation: Australian Government.","","",""
Karen Chhour,"Kazzer Services Limited - New Zealand - made clothing and property|management","","","Coulter family trust (trustee)","","Family home (jointly owned) - Auckland","Bank of New Zealand KiwiSaver","YouWealth account - Bank of New Zealand","","Bank of New Zealand - mortgage","","","",""
David Clark,"","","","Clearwater Trust (trustee and beneficiary)|Faye Clark Family Trust (beneficiary)|Richard Clark Family Trust (beneficiary)","","Family home (owned by Clearwater Trust) - Ōpoho, Dunedin|Holiday home (owned jointly by Richard Clark Family Trust and Faye Clark|Family Trust) - Alexandra","Booster KiwiSaver|Clearwater Superannuation Trust","","Clearwater Trust - advances*","ANZ Bank - mortgage (as trustee of Clearwater Trust)","","","",""
Tāmati Coffey,"T2 Hospitality Limited - hospitality","","","Tumu Kaituna 8B1 Trust (trustee)|Tauhara Middle 4A IJ 11 Sub 17 and 18 (trustee)|Pukaki Ki Rotorua Trust (trustee)|T2 Trust (trustee and beneficiary)","","Family home - Hinemoa Point, Rotorua|Investment property - Kawaha Point, Rotorua","Mercer KiwiSaver","","","ASB Bank - home mortgage","","","",""
Judith Collins,"","CDL Hotels Limited - hotel operator","","Sigmund Trust (trustee and beneficiary)|Judith Collins Family Trust (trustee and beneficiary)|James Resettlement Trust (trustee and beneficiary)|Schoeller Family Trust (trustee)|Barbara Collins Family Trust (trustee)|Edith Moorman Trust (trustee)","","Family home (owned by trusts) - Auckland|Commercial and residential property (owned by superannuation scheme) -|Wellington|Residential property (owned by superannuation scheme) - Nelson","Holly Superannuation Scheme","","Holly Superannuation Scheme - on demand*","ASB Bank - mortgage","","Helicopter flight - Volta Aviation","","Public Lending Right - book royalties"
Simon Court,"Strategic Engineering New Zealand Limited (no longer trading) - project management, construction management, and technical support","","","P & S Court Trust (beneficiary)","","Family home (jointly owned) - Waitakere, Auckland|Family home (P & S Court Trust) - Glenholme, Rotorua|Family home (P & S Court Trust) - Whangaparāoa, Auckland|Family home (jointly owned) - Thorndon, Wellington","Fisher Funds KiwiSaver","","","ASB Bank - mortgages","","Hospitality (food and drink) while traveling in USA and Canada, October 2022 - Stantec","",""
