Name,DateTime,Debate_Time
JENNY SALESA,2022-10-27 15:00:30,2022-10-27 15:00:10
SPEAKER,2022-10-27 15:09:49,2022-10-27 15:00:10
Dr AYESHA VERRALL,2022-10-26 20:24:58,2022-10-26 20:24:58
ASSISTANT SPEAKER,2022-10-26 20:27:44,2022-10-26 20:24:58
SPEAKER,2022-10-25 15:07:46,2022-10-25 15:07:46
SPEAKER,2022-10-25 15:08:59,2022-10-25 15:07:46
SPEAKER,2022-10-19 14:01:05,2022-10-19 14:01:05
RAWIRI WAITITI,2022-10-19 14:02:35,2022-10-19 14:02:35
SPEAKER,2022-10-19 15:10:11,2022-10-19 15:10:11
SPEAKER,2022-10-18 15:11:58,2022-10-18 15:11:58
BROOKE VAN VELDEN,2022-10-18 15:13:02,2022-10-18 15:11:58
SPEAKER,2022-09-29 14:01:27,2022-09-29 14:01:27
Marja Lubeck,2022-09-29 14:47:39,2022-09-29 14:47:39
SPEAKER,2022-09-29 14:57:49,2022-09-29 14:47:39
SPEAKER,2022-09-28 14:01:18,2022-09-28 14:01:18
RINO TIRIKATENE,2022-09-22 14:01:03,2022-09-22 14:01:03
CHRIS HIPKINS,2022-09-22 14:57:34,2022-09-22 14:57:34
SPEAKER,2022-09-22 14:58:38,2022-09-22 14:57:34
MICHAEL WOODHOUSE,2022-09-22 14:58:40,2022-09-22 14:57:34
CHRIS HIPKINS,2022-09-21 19:53:21,2022-09-21 19:53:21
SPEAKER,2022-09-20 14:01:06,2022-09-20 14:01:06
SPEAKER,2022-09-20 14:58:34,2022-09-20 14:58:34
DAVID SEYMOUR,2022-09-20 14:59:50,2022-09-20 14:58:34
SPEAKER,2022-09-20 14:59:57,2022-09-20 14:58:34
NANAIA MAHUTA,2022-09-01 14:00:54,2022-09-01 14:00:54
CHAIRPERSON,2022-09-01 15:07:39,2022-09-01 15:07:39
CHAIRPERSON,2022-08-30 14:52:14,2022-08-30 14:52:14
CHRIS HIPKINS,2022-08-25 14:04:14,2022-08-25 14:04:14
SPEAKER,2022-08-25 14:06:51,2022-08-25 14:04:14
SPEAKER,2022-08-23 14:01:06,2022-08-23 14:01:06
SPEAKER,2022-08-23 14:01:33,2022-08-23 14:01:33
TĀMATI COFFEY,2022-08-23 14:02:11,2022-08-23 14:02:11
CHRIS BISHOP,2022-08-23 15:11:07,2022-08-23 15:11:07
SPEAKER,2022-08-23 15:11:32,2022-08-23 15:11:07
CHRIS BISHOP,2022-08-23 15:11:34,2022-08-23 15:11:07
SPEAKER,2022-08-23 15:11:49,2022-08-23 15:11:07
SPEAKER,2022-08-23 15:11:54,2022-08-23 15:11:54
CHAIRPERSON,2022-08-23 15:14:32,2022-08-23 15:14:32
DAVID PARKER,2022-08-23 21:06:50,2022-08-23 21:06:50
ASSISTANT SPEAKER,2022-08-23 21:18:02,2022-08-23 21:06:50
SPEAKER,2022-08-10 14:01:03,2022-08-10 14:01:03
SPEAKER,2022-08-10 14:01:25,2022-08-10 14:01:25
DAVID SEYMOUR,2022-08-10 14:02:51,2022-08-10 14:01:25
CHAIRPERSON,2022-08-10 16:12:48,2022-08-10 16:12:48
GRANT ROBERTSON,2022-08-09 14:00:55,2022-08-09 14:00:55
CHRIS HIPKINS,2022-08-09 15:12:45,2022-08-09 15:12:45
CHAIRPERSON,2022-08-03 12:29:03,2022-08-03 12:29:03
DEPUTY SPEAKER,2022-07-28 14:58:20,2022-07-28 14:58:20
JACQUI DEAN,2022-08-25 14:29:12,2022-07-28 14:58:20
ASSISTANT SPEAKER,2022-07-28 15:08:55,2022-07-28 14:58:20
DAVID PARKER,2022-07-28 15:19:10,2022-07-28 15:19:10
JAN LOGIE,2022-07-28 15:19:45,2022-07-28 15:19:45
CHAIRPERSON,2022-07-28 12:53:43,2022-07-28 12:53:43
NANAIA MAHUTA,2022-07-27 14:00:55,2022-07-27 14:00:55
SPEAKER,2022-07-26 14:00:49,2022-07-26 14:00:49
SPEAKER,2022-07-26 14:00:59,2022-07-26 14:00:49
SPEAKER,2022-07-26 14:02:50,2022-07-26 14:02:50
SPEAKER,2022-07-26 15:09:23,2022-07-26 15:09:23
CHRIS HIPKINS,2022-06-30 14:52:53,2022-06-30 14:52:53
SPEAKER,2022-06-22 11:52:08,2022-06-22 11:52:08
CHRIS HIPKINS,2022-06-28 17:05:10,2022-06-28 17:05:10
DEPUTY SPEAKER,2022-06-28 17:15:06,2022-06-28 17:05:10
Dr AYESHA VERRALL,2022-06-28 17:20:37,2022-06-28 17:20:37
DEPUTY SPEAKER,2022-06-28 17:20:37,2022-06-28 17:20:37
ASSISTANT SPEAKER,2022-06-28 19:14:47,2022-06-28 19:14:47
MICHAEL WOOD (Minister of Immigration) on behalf of the Leader of the House,2022-06-22 15:58:12,2022-06-22 15:58:12
SPEAKER,2022-06-21 14:01:08,2022-06-21 14:01:08
SPEAKER,2022-06-21 14:02:19,2022-06-21 14:02:19
ANDREW LITTLE,2022-06-21 14:05:17,2022-06-21 14:05:17
NANAIA MAHUTA,2022-06-08 14:00:54,2022-06-08 14:00:54
JACINDA ARDERN,2022-06-07 14:07:41,2022-06-07 14:07:41
Dr AYESHA VERRALL,2022-06-07 15:11:50,2022-06-07 15:11:50
DEPUTY SPEAKER,2022-06-07 15:15:00,2022-06-07 15:11:50
MARJA LUBECK,2022-06-02 14:49:10,2022-06-02 14:49:10
DEPUTY SPEAKER,2022-05-31 14:01:31,2022-05-31 14:01:31
DEPUTY SPEAKER,2022-05-31 14:02:01,2022-05-31 14:02:01
DEPUTY SPEAKER,2022-05-31 14:04:04,2022-05-31 14:02:01
GRANT ROBERTSON,2022-05-19 14:05:37,2022-05-19 14:05:37
JAMES SHAW,2022-05-17 14:02:31,2022-05-17 14:02:31
CHRIS HIPKINS,2022-05-17 15:20:29,2022-05-17 15:20:29
SPEAKER,2022-05-12 14:01:00,2022-05-12 14:01:00
EUGENIE SAGE,2022-05-12 09:00:30,2022-05-12 09:00:30
ASSISTANT SPEAKER,2022-05-12 09:10:33,2022-05-12 09:00:30
SPEAKER,2022-05-11 15:04:13,2022-05-11 15:04:13
SPEAKER,2022-05-10 14:01:28,2022-05-10 14:01:28
SPEAKER,2022-05-10 14:03:36,2022-05-10 14:03:36
SPEAKER,2022-05-10 15:12:06,2022-05-10 15:12:06
ASSISTANT SPEAKER,2022-05-10 21:57:50,2022-05-10 21:57:50
ANDREW LITTLE,2022-05-05 15:06:38,2022-05-05 15:06:38
DEPUTY SPEAKER,2022-05-05 15:09:27,2022-05-05 15:06:38
SPEAKER,2022-05-04 14:56:41,2022-05-04 14:56:41
DEPUTY SPEAKER,2022-05-04 14:57:09,2022-05-04 14:56:41
DAVID SEYMOUR,2022-05-04 14:58:58,2022-05-04 14:56:41
CHRIS BISHOP,2022-05-04 15:00:23,2022-05-04 14:56:41
DEPUTY SPEAKER,2022-05-04 15:00:59,2022-05-04 14:56:41
CHRIS BISHOP,2022-05-04 15:01:49,2022-05-04 14:56:41
DEPUTY SPEAKER,2022-05-04 15:02:20,2022-05-04 14:56:41
GERRY BROWNLEE,2022-05-04 15:02:28,2022-05-04 14:56:41
DAVID SEYMOUR,2022-05-04 15:03:53,2022-05-04 14:56:41
DEPUTY SPEAKER,2022-05-04 15:04:11,2022-05-04 14:56:41
CHRIS BISHOP,2022-05-04 15:04:16,2022-05-04 14:56:41
DEPUTY SPEAKER,2022-05-04 15:04:16,2022-05-04 14:56:41
SPEAKER,2022-05-04 17:40:20,2022-05-04 17:40:20
SPEAKER,2022-05-03 14:04:27,2022-05-03 14:04:27
POTO WILLIAMS,2022-05-03 14:05:23,2022-05-03 14:05:23
SPEAKER,2022-05-03 15:12:47,2022-05-03 15:12:47
CHAIRPERSON,2022-05-03 15:14:00,2022-05-03 15:14:00
DEBBIE NGAREWA-PACKER,2022-04-14 14:01:04,2022-04-14 14:01:04
DEPUTY SPEAKER,2022-04-14 14:58:11,2022-04-14 14:58:11
DEPUTY SPEAKER,2022-04-14 15:00:47,2022-04-14 15:00:47
CHRIS HIPKINS,2022-04-14 15:57:00,2022-04-14 15:00:47
CHRIS HIPKINS,2022-04-14 15:01:39,2022-04-14 15:01:39
DEPUTY SPEAKER,2022-04-14 15:04:52,2022-04-14 15:01:39
CHRIS HIPKINS,2022-04-14 15:05:10,2022-04-14 15:05:10
DEPUTY SPEAKER,2022-04-14 15:11:28,2022-04-14 15:05:10
MEKA WHAITIRI,2022-04-13 14:01:27,2022-04-13 14:01:27
CHAIRPERSON,2022-04-13 17:03:20,2022-04-13 17:03:20
CHAIRPERSON,2022-04-12 14:55:44,2022-04-12 14:55:44
ASSISTANT SPEAKER,2022-04-06 17:56:37,2022-04-06 17:56:37
SPEAKER,2022-04-05 14:00:48,2022-04-05 14:00:48
DEBBIE NGAREWA-PACKER,2022-03-31 14:06:52,2022-03-31 14:06:52
KIRITAPU ALLAN (Minister of Conservation) on behalf of the Minister of Justice,2022-03-30 15:59:52,2022-03-30 15:59:52
SPEAKER,2022-03-29 14:00:58,2022-03-29 14:00:58
CARMEL SEPULONI,2022-03-29 14:00:51,2022-03-29 14:00:58
SPEAKER,2022-03-29 14:01:44,2022-03-29 14:01:44
CHRIS HIPKINS,2022-03-29 21:17:28,2022-03-29 21:17:28
GRANT ROBERTSON,2022-03-16 14:00:53,2022-03-16 14:00:53
SPEAKER,2022-03-16 14:03:51,2022-03-16 14:00:53
SPEAKER,2022-03-16 14:14:20,2022-03-16 14:14:20
JACINDA ARDERN,2022-03-15 14:00:43,2022-03-15 14:00:43
SPEAKER,2022-03-15 14:39:57,2022-03-15 14:39:57
ASSISTANT SPEAKER,2022-03-15 21:57:50,2022-03-15 21:57:50
ASSISTANT SPEAKER,2022-03-08 17:40:07,2022-03-08 17:40:07
JAN LOGIE,2022-03-08 17:43:57,2022-03-08 17:43:57
ASSISTANT SPEAKER,2022-03-08 17:44:16,2022-03-08 17:43:57
CHAIRPERSON,2022-03-08 21:22:22,2022-03-08 21:22:22
JACINDA ARDERN,2022-03-03 14:03:07,2022-03-03 14:03:07
SPEAKER,2022-03-03 14:08:53,2022-03-03 14:03:07
GRANT ROBERTSON,2022-03-02 14:01:40,2022-03-02 14:01:40
SPEAKER,2022-03-02 14:04:59,2022-03-02 14:01:40
SPEAKER,2022-03-02 15:18:22,2022-03-02 15:18:22
ASSISTANT SPEAKER,2022-03-02 20:29:36,2022-03-02 20:29:36
JACINDA ARDERN,2022-03-01 14:01:42,2022-03-01 14:01:42
SPEAKER,2022-03-01 14:01:53,2022-03-01 14:01:42
SPEAKER,2022-03-01 14:09:11,2022-03-01 14:01:42
SPEAKER,2022-03-01 14:28:47,2022-03-01 14:28:47
CHRIS HIPKINS,2022-03-01 15:41:44,2022-03-01 15:41:44
CHRIS HIPKINS,2022-03-01 15:46:30,2022-03-01 15:46:30
ASSISTANT SPEAKER,2022-03-01 15:53:33,2022-03-01 15:46:30
CHRIS HIPKINS,2022-02-17 15:02:16,2022-02-17 15:02:16
DEPUTY SPEAKER,2022-02-17 15:08:43,2022-02-17 15:02:16
CARMEL SEPULONI (Minister for Social Development and Employment) on behalf of the Prime Minister,2022-02-16 17:53:27,2022-02-16 17:53:27
CARMEL SEPULONI (Minister for Social Development and Employment) on behalf of the Minister for COVID-19 Response,2022-02-16 17:53:56,2022-02-16 17:53:56
ASSISTANT SPEAKER,2022-02-16 17:57:15,2022-02-16 17:53:56
ASSISTANT SPEAKER,2022-02-16 17:57:15,2022-02-16 17:53:56
SPEAKER,2022-02-15 14:00:28,2022-02-15 14:00:28
SPEAKER,2022-02-15 14:59:54,2022-02-15 14:59:54
JACINDA ARDERN,2022-02-09 14:01:28,2022-02-09 14:01:28
